FG_seq,Wikidata_Q,Wikidata_link,cdli_ruler,cdli_count,NeedDisambig,CDLI URI,Alies (separated by bar | ),Description,Note,period_id,dynasty_id (P53),sequence,Replaces_(P1365),Replaced_by_(P1366),start_time_(P580),end_time_(P582),Wikidata2_link,Wikidata2_Q,Wikidata2_label,Wikidata3,Wikidata3_Label,Wikidata4,Wikidata4_Label,Follows (P155),Followed by (P156),Wikidata_Label,ruler,id,Wikidata_Label,Wikidata_Q,ruler,rulerLabel,birthdate,deathdate,replaces,replacesLabel,replacedBy,replacedByLabel,position,positionLabel,position2,positionLabel2,position3,positionLabel3,P21,determination method,https://www.wikidata.org/wiki/Property:P569,https://www.wikidata.org/wiki/Property:P570,https://www.wikidata.org/wiki/Property:P39,https://www.wikidata.org/wiki/Property:P580,https://www.wikidata.org/wiki/Property:P582,https://www.wikidata.org/wiki/Property:P1365,https://www.wikidata.org/wiki/Property:P1366,link address,epsd2_sortcode,epsd2_rulers,Wikipedia_reference,Wikidata_Q,Wikidata-link,P31,P103,P1412,titles,father,siblings,spouse,epsd2_sortcodes_json,RIME_seq_num,RIME_Volume,RIME_Series,RIME_Page,RIME_Ruler,RIME_Dynasty_count,RIME_Area,Wiki_dynasty,Wiki_periods,Wikidata_Label,Wikidata_Q,CDLI_URI,CDLI_label,x_CDLI,RIME_PDF_entry,Series_page
,Q726871,https://www.wikidata.org/wiki/Q726871,Ashur-nadin-shumi,1,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashur-nadin-shumi,Ashur-nadin-shumi,45,Ashur-nadin-shumi,Q726871,http://www.wikidata.org/entity/Q726871,Ashur-nadin-shumi,-0800-01-01T00:00:00Z,-0693-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28132899,King of Babylon,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q171191,https://www.wikidata.org/wiki/Q171191,Ashurbanipal,220,,,,,Y,NULL,NULL,NULL,,,,,,,,,,,,,,Ashurbanipal,Ashurbanipal,522,Ashurbanipal,Q171191,http://www.wikidata.org/entity/Q171191,Ashurbanipal,-0684-01-01T00:00:00Z,-0630-01-01T00:00:00Z,http://www.wikidata.org/entity/Q193912,Esarhaddon,http://www.wikidata.org/entity/Q362680,Ashur-etil-ilani,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q193290,https://www.wikidata.org/wiki/Q193290,Ashurnasirpal2,0,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashurnasirpal II,Ashurnasirpal2,326,Ashurnasirpal II,Q193290,http://www.wikidata.org/entity/Q193290,Ashurnasirpal II,-1000-01-01T00:00:00Z,-0853-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q362675,https://www.wikidata.org/wiki/Q362675,Assur-bel-kala,39,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashur-bel-kala,Assur-bel-kala,11,Ashur-bel-kala,Q362675,http://www.wikidata.org/entity/Q362675,Ashur-bel-kala,-1200-01-01T00:00:00Z,-1055-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q598059,https://www.wikidata.org/wiki/Q598059,Assur-bel-nisheshu,17,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashur-bel-nisheshu,Assur-bel-nisheshu,476,Ashur-bel-nisheshu,Q598059,http://www.wikidata.org/entity/Q598059,Ashur-bel-nisheshu,-1500-01-01T00:00:00Z,-1400-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q374567,https://www.wikidata.org/wiki/Q374567,Assur-dan1,0,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashur-dan I ,Assur-dan1,406,Ashur-dan I ,Q374567,http://www.wikidata.org/entity/Q374567,Ashur-dan I,-1300-01-01T00:00:00Z,-1200-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q466990,https://www.wikidata.org/wiki/Q466990,Assur-dan2,0,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashur-dan II ,Assur-dan2,138,Ashur-dan II ,Q466990,http://www.wikidata.org/entity/Q466990,Ashur-dan II,-1000-01-01T00:00:00Z,-0960-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q446412,https://www.wikidata.org/wiki/Q446412,Assur-dan3,3,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashur-dan III,Assur-dan3,121,Ashur-dan III,Q446412,http://www.wikidata.org/entity/Q446412,Ashur-dan III,-0900-01-01T00:00:00Z,-0753-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q362680,https://www.wikidata.org/wiki/Q362680,Assur-etel-ilani,47,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashur-etil-ilani,Assur-etel-ilani,462,Ashur-etil-ilani,Q362680,http://www.wikidata.org/entity/Q362680,Ashur-etil-ilani,-0700-01-01T00:00:00Z,-0626-01-01T00:00:00Z,http://www.wikidata.org/entity/Q171191,Ashurbanipal,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q378842,https://www.wikidata.org/wiki/Q378842,Assur-nadin-ahhe2,0,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashur-nadin-ahhe II,Assur-nadin-ahhe2,256,Ashur-nadin-ahhe II,Q378842,http://www.wikidata.org/entity/Q378842,Ashur-nadin-ahhe II,-1500-01-01T00:00:00Z,-1400-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Assur-nerari1,0,,disambiguation needed,,,None found -  but foudn III,NULL,NULL,NULL,,,,,,,,,,,,,,,Assur-nerari1,215,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q352925,https://www.wikidata.org/wiki/Q352925,Assur-nerari5,3,,disambiguation needed,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashur-nirari V,Assur-nerari5,433,Ashur-nirari V,Q352925,http://www.wikidata.org/entity/Q352925,Ashur-nirari V,-0800-01-01T00:00:00Z,-0745-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q794893,https://www.wikidata.org/wiki/Q794893,Assur-rabi1,0,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashur-rabi I,Assur-rabi1,412,Ashur-rabi I,Q794893,http://www.wikidata.org/entity/Q794893,Ashur-rabi I,-1500-01-01T00:00:00Z,-1500-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q661455,https://www.wikidata.org/wiki/Q661455,Assur-rem-nisheshu,14,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashur-rim-nisheshu,Assur-rem-nisheshu,61,Ashur-rim-nisheshu,Q661455,http://www.wikidata.org/entity/Q661455,Ashur-rim-nisheshu,-1500-01-01T00:00:00Z,-1400-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q521473,https://www.wikidata.org/wiki/Q521473,Assur-resh-ishi1,0,y,disambiguation needed,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashur-resh-ishi I,Assur-resh-ishi1,227,Ashur-resh-ishi I,Q521473,http://www.wikidata.org/entity/Q521473,Ashur-resh-ishi I,-1200-01-01T00:00:00Z,-1200-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q521473,https://www.wikidata.org/wiki/Q521473,Assur-resha-ishi1,0,y,disambiguation needed,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashur-resh-ishi I,Assur-resha-ishi1,389,Ashur-resh-ishi I,Q521473,http://www.wikidata.org/entity/Q521473,Ashur-resh-ishi I,-1200-01-01T00:00:00Z,-1200-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q521473,https://www.wikidata.org/wiki/Q521473,Assur-resha-ishi2,0,y,disambiguation needed,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashur-resh-ishi I,Assur-resha-ishi2,8,Ashur-resh-ishi I,Q521473,http://www.wikidata.org/entity/Q521473,Ashur-resh-ishi I,-1200-01-01T00:00:00Z,-1200-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,73,LUM-ma,,,,Q13649246,,,,,,,"LUM-ma: ""73"",",5,RIME 1,1.1.5,25,LUM-ma,1,ADAB,,,,,,Lumma,9x,LUM-ma E1.1.5 / 25,1.1.5 / 25
,Q299468,https://www.wikidata.org/wiki/Q299468,Assur-uballit1,0,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashur-uballit I,Assur-uballit1,254,Ashur-uballit I,Q299468,http://www.wikidata.org/entity/Q299468,Ashur-uballit I,-1400-01-01T00:00:00Z,-1329-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q171191,https://www.wikidata.org/wiki/Q171191,Assurbanipal,1398,y,disambiguation needed,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashurbanipal,Assurbanipal,198,Ashurbanipal,Q171191,http://www.wikidata.org/entity/Q171191,Ashurbanipal,-0684-01-01T00:00:00Z,-0630-01-01T00:00:00Z,http://www.wikidata.org/entity/Q193912,Esarhaddon,http://www.wikidata.org/entity/Q362680,Ashur-etil-ilani,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Assurbanipal2,0,y,disambiguation needed,,,None Found,NULL,NULL,NULL,,,,,,,,,,,,,,,Assurbanipal2,442,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q374567,https://www.wikidata.org/wiki/Q374567,Assurdan1,1,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashur-dan I,Assurdan1,394,Ashur-dan I,Q374567,http://www.wikidata.org/entity/Q374567,Ashur-dan I,-1300-01-01T00:00:00Z,-1200-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q352931,https://www.wikidata.org/wiki/Q352931,Assurnasirpal1,0,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashurnasirpal I,Assurnasirpal1,381,Ashurnasirpal I,Q352931,http://www.wikidata.org/entity/Q352931,Ashurnasirpal I,-1100-01-01T00:00:00Z,-1060-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q193290,https://www.wikidata.org/wiki/Q193290,Assurnasirpal2,0,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Ashurnasirpal II,Assurnasirpal2,499,Ashurnasirpal II,Q193290,http://www.wikidata.org/entity/Q193290,Ashurnasirpal II,-1000-01-01T00:00:00Z,-0853-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28124026,King of Assyria,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q757913,https://www.wikidata.org/wiki/Q757913,Atta-hushu,4,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Atta-hushu,Atta-hushu,123,Atta-hushu,Q757913,http://www.wikidata.org/entity/Q757913,Atta-hushu,-1500-01-01T00:00:00Z,,,,,,http://www.wikidata.org/entity/Q59155756,ruler of Elam,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q313234,https://www.wikidata.org/wiki/Q313234,Awel-Marduk,1,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Amel-Marduk,Awel-Marduk,367,Amel-Marduk,Q313234,http://www.wikidata.org/entity/Q313234,Amel-Marduk,-0609-01-01T00:00:00Z,-0559-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28132899,King of Babylon,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ax,1,,,,,What is this abbrevation?,NULL,NULL,NULL,,,,,,,,,,,,,,,Ax,413,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ayyabum,2,,https://cdli.mpiwg-berlin.mpg.de/artifacts/448250 | https://cdli.mpiwg-berlin.mpg.de/artifacts/448593,,,None Found,NULL,NULL,NULL,,,,,,,,,,,,,,,Ayyabum,335,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q56340858,https://www.wikidata.org/wiki/Q56340858,Azuzu,0,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Azuzu,Azuzu,160,No label defined,Q56340858,http://www.wikidata.org/entity/Q56340858,Azuzu,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q4058457,https://www.wikidata.org/wiki/Q4058457,Azuzum,15,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Azuzum,Azuzum,504,Azuzum,Q4058457,http://www.wikidata.org/entity/Q4058457,Azuzum,-2000-01-01T00:00:00Z,-2000-01-01T00:00:00Z,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,B,72,,,,,What is this abbrevation?,NULL,NULL,NULL,,,,,,,,,,,,,,,B,514,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bar,3,,,,,What is this abbrevation?,NULL,NULL,NULL,,,,,,,,,,,,,,,Bar,207,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bara-heNIdu,4,,https://cdli.mpiwg-berlin.mpg.de/artifacts/222689 | https://cdli.mpiwg-berlin.mpg.de/artifacts/222711 | https://cdli.mpiwg-berlin.mpg.de/artifacts/431016 | https://cdli.mpiwg-berlin.mpg.de/artifacts/431017,,,None Found,NULL,NULL,NULL,,,,,,,,,,,,,,,Bara-heNIdu,424,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,67,Bara-heNIdu,,,,Q13649246,,,,,,,"Bara-heNIdu: ""67"",",3,RIME 1,1.1.3,21,Bara-heNIdu,1,ADAB,,,,,https://cdli.mpiwg-berlin.mpg.de/artifacts/222689 | https://cdli.mpiwg-berlin.mpg.de/artifacts/222711 | https://cdli.mpiwg-berlin.mpg.de/artifacts/431016 | https://cdli.mpiwg-berlin.mpg.de/artifacts/431017,Bara-heNIdu,,Bara- ̇eNIdu E1.1.3 / 21,1.1.3 / 21
,Q242267,https://www.wikidata.org/wiki/Q242267,Bardiya,11,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Bardiya,Bardiya,359,Bardiya,Q242267,http://www.wikidata.org/entity/Q242267,Bardiya,http://www.wikidata.org/.well-known/genid/18fe0412cd5a4b968a1a5bad03dd9b86,-0521-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q37110,pharaoh,http://www.wikidata.org/entity/Q938153,King of Kings,http://www.wikidata.org/entity/Q3114558,Great King,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q815059,https://www.wikidata.org/wiki/Q815059,Bel-ibni,2,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Bel-ibni,Bel-ibni,190,Bel-ibni,Q815059,http://www.wikidata.org/entity/Q815059,Bel-ibni,-0800-01-01T00:00:00Z,-0699-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28132899,King of Babylon,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Belakum,18,,,,,None Found,NULL,NULL,NULL,,,,,,,,,,,,,,,Belakum,438,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Beli-ishar,2,,,,,None Found,NULL,NULL,NULL,,,,,,,,,,,,,,,Beli-ishar,308,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q552663,https://www.wikidata.org/wiki/Q552663,Bilalama,42,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Bilalama,Bilalama,423,Bilalama,Q552663,http://www.wikidata.org/entity/Q552663,Bilalama,-2100-01-01T00:00:00Z,-2000-01-01T00:00:00Z,,,,,,,,,,,Q6581097,,,,,,,,,,263,Bilalama,,,,Q13649246,,,,,,,"Bilalama: ""263"",",219,RIME 4,4.5.3,491,Bilalama,,ESNUNNA,,,,Q552663,,,,Bilalama E4.5.3 / 491,4.5.3 / 491
,,,Birmabide,3,,https://cdli.mpiwg-berlin.mpg.de/artifacts/448232 | https://cdli.mpiwg-berlin.mpg.de/artifacts/448234 | https://cdli.mpiwg-berlin.mpg.de/artifacts/448590,,,None Found,NULL,NULL,NULL,,,,,,,,,,,,,,,Birmabide,527,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q2928305,https://www.wikidata.org/wiki/Q2928305,Bur-Sin1,21,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Bur-Suen,Bur-Sin1,177,Bur-Suen,Q2928305,http://www.wikidata.org/entity/Q2928305,Bur-Suen,,,,,,,,,,,,,Q6581097,,,,,,,,,,197,Bur-Sin,,,,Q13649246,,,,,,,"Bur-Sin: ""197"",",171,RIME 4,4.1.7,69,Bur-Sîn,2,ISIN,,,,Q2928305,,,,Bur-Sîn E4.1.7 / 69,4.1.7 / 69
,Q764929,https://www.wikidata.org/wiki/Q764929,Burna-Buriash,17,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Burnaburiash I,Burna-Buriash,348,Burnaburiash I,Q764929,http://www.wikidata.org/entity/Q764929,Burnaburiash I,-1600-01-01T00:00:00Z,-1600-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28132899,King of Babylon,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q707687,https://www.wikidata.org/wiki/Q707687,Burnaburiash2,0,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Burna-Buriash II,Burnaburiash2,521,Burna-Buriash II,Q707687,http://www.wikidata.org/entity/Q707687,Burna-Buriash II,-1400-01-01T00:00:00Z,-1400-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q28132899,King of Babylon,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q299428,https://www.wikidata.org/wiki/Q299428,Cambyses,156,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Cambyses I,Cambyses,91,Cambyses I,Q299428,http://www.wikidata.org/entity/Q299428,Cambyses I,-0599-01-01T00:00:00Z,-0558-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q3114558,Great King,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q182483,https://www.wikidata.org/wiki/Q182483,Cambyses2,14,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Cambyses II,Cambyses2,159,Cambyses II,Q182483,http://www.wikidata.org/entity/Q182483,Cambyses II,-0558-01-01T00:00:00Z,-0521-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q37110,pharaoh,http://www.wikidata.org/entity/Q938153,King of Kings,http://www.wikidata.org/entity/Q3114558,Great King,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q295225,https://www.wikidata.org/wiki/Q295225,Cyrus,167,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Cyrus I,Cyrus,305,Cyrus I,Q295225,http://www.wikidata.org/entity/Q295225,Cyrus I,http://www.wikidata.org/.well-known/genid/7fe078ad8481889e125981abbb936499,-0579-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q3114558,Great King,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q8423,https://www.wikidata.org/wiki/Q8423,Cyrus2,10,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Cyrus the Great,Cyrus2,534,Cyrus the Great,Q8423,http://www.wikidata.org/entity/Q8423,Cyrus the Great,-0599-01-01T00:00:00Z,-0529-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q182483,Cambyses II,http://www.wikidata.org/entity/Q938153,King of Kings,http://www.wikidata.org/entity/Q3114558,Great King,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dabrum,2,,,,,None Found,NULL,NULL,NULL,,,,,,,,,,,,,,,Dabrum,125,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q889634,https://www.wikidata.org/wiki/Q889634,Dadusha,0,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Dadusha,Dadusha,74,Dadusha,Q889634,http://www.wikidata.org/entity/Q889634,Dadusha,-1850-01-01T00:00:00Z,-1800-01-01T00:00:00Z,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q736198,https://www.wikidata.org/wiki/Q736198,Damiq-ilishu,1,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Damiq-ilishu,Damiq-ilishu,479,Damiq-ilishu,Q736198,http://www.wikidata.org/entity/Q736198,Damiq-ilishu,-1900-01-01T00:00:00Z,-1800-01-01T00:00:00Z,,,,,,,,,,,Q6581097,,,,,,,,,,211,Damiq-ilišu,,,,Q13649246,,,,,,,"Damiq-ilišu: ""211"",",179,RIME 4,4.1.15,102,Damiq-ilisu,2,ISIN,,,,Q736198,,,,Damiq-ilisu E4.1.15 / 102,4.1.15 / 102
,Q1165805,https://www.wikidata.org/wiki/Q1165805,Dareios,2,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Dareios,Dareios,416,Dareios,Q1165805,http://www.wikidata.org/entity/Q1165805,Dareios,-0200-01-01T00:00:00Z,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q44387,https://www.wikidata.org/wiki/Q44387,Darius1,68,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Darius I of Persia ,Darius1,97,Darius I of Persia ,Q44387,http://www.wikidata.org/entity/Q44387,Darius I of Persia,-0549-01-01T00:00:00Z,-0485-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q938153,King of Kings,http://www.wikidata.org/entity/Q37110,pharaoh,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q202236,https://www.wikidata.org/wiki/Q202236,Darius2,54,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Darius II,Darius2,135,Darius II,Q202236,http://www.wikidata.org/entity/Q202236,Darius II,-0474-01-01T00:00:00Z,-0403-01-01T00:00:00Z,,,,,http://www.wikidata.org/entity/Q37110,pharaoh,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q560137,https://www.wikidata.org/wiki/Q560137,Dudu,11,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Dudu of Akkad,Dudu,39,Dudu of Akkad,Q560137,http://www.wikidata.org/entity/Q560137,Dudu of Akkad,-2300-01-01T00:00:00Z,-2200-01-01T00:00:00Z,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Eabzu,2,,https://cdli.mpiwg-berlin.mpg.de/artifacts/222829 | https://cdli.mpiwg-berlin.mpg.de/artifacts/431192,,,"Most likely none, only listing is a religious temple
https://www.wikidata.org/wiki/Q1470428",NULL,NULL,NULL,,,,,,,,,,,,,,,Eabzu,454,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,109,E-abzu,,,,Q13649246,,,,,,,"E-abzu: ""109"",",49,RIME 1,1.12.3,365,E-abzu,1,GISA AND UMMA,,,,,https://cdli.mpiwg-berlin.mpg.de/artifacts/222829 | https://cdli.mpiwg-berlin.mpg.de/artifacts/431192,Eabzu,,E-abzu E1.12.3 / 365,1.12.3 / 365
,Q352544,https://www.wikidata.org/wiki/Q352544,Eannatum,105,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Eannatum,Eannatum,314,Eannatum,Q352544,http://www.wikidata.org/entity/Q352544,Eannatum,-2500-01-01T00:00:00Z,-2424-01-01T00:00:00Z,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Eannatum,105,,disambiguation needed,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Eannatum,Eannatum,158,Eannatum,Q352544,http://www.wikidata.org/entity/Q352544,Eannatum,-2500-01-01T00:00:00Z,-2424-01-01T00:00:00Z,,,,,,,,,,,Q6581097,,,,,,,,,,47,E-anatum,,Q352544,,Q13649246,,,,,,,"E-anatum: ""47"",",21,RIME 1,1.9.3,125,E-anatum,1,LAGAŠ,,,,Q352544,,,,E-anatum E1.9.3 / 125,1.9.3 / 125
,,,Ebarad,12,,,,,Needs disambiguation I vs II,NULL,NULL,NULL,,,,,,Q11696991,Eparti I,,,,,,,,Ebarad,557,,,,,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q11696991,https://www.wikidata.org/wiki/Q11696991,Ebarat,4,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,,Eparti I,Ebarat,77,Eparti I,Q11696991,http://www.wikidata.org/entity/Q11696991,Eparti I,,,,,,,,,,,,,Q6581097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
